,last_reported,station_id,Available bikes,Mechanical bikes,Ebike,weekday,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte,Municipi
17,2020-01-18,1,11.678200692041523,11.301038062283737,0.3771626297577855,Saturday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
18,2020-01-19,1,9.690972222222221,9.069444444444445,0.6215277777777778,Sunday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
19,2020-01-20,1,7.972222222222222,7.34375,0.6284722222222222,Monday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
20,2020-01-21,1,9.711805555555555,9.20138888888889,0.5104166666666666,Tuesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
21,2020-01-22,1,9.909722222222221,8.79513888888889,1.1145833333333333,Wednesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
22,2020-01-23,1,15.128472222222221,14.01736111111111,1.1111111111111112,Thursday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
23,2020-01-24,1,15.45993031358885,14.846689895470384,0.6132404181184669,Friday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
24,2020-01-27,1,10.117948717948718,9.748717948717948,0.36923076923076925,Monday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
25,2020-01-28,1,12.305555555555555,11.54861111111111,0.7569444444444444,Tuesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
26,2020-01-29,1,12.371527777777779,11.21875,1.1527777777777777,Wednesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
